frame_coords,rmse,range,sill,nugget
rows_800_1000,0.8922651171423464,8.342052039694945,3.0066540939645883,0
rows_800_1000,0.50481230660038,2.725146046394187,4.871920661088753,0
rows_800_1000,0.9468230324384415,9.037980544144574,5.522350861801828,0
rows_800_1000,6.43174359655338,233.7541443482874,9.892042946123604,0
rows_1600_1800,1.2348706507618936,16.82868796838308,9.197997309764983,0
rows_1600_1800,1.7400094119398306,8.749038246420968,10.715596332610577,0
rows_2000_2200,1.0609319794531475,10.511450526681301,4.448664215784308,0
rows_2000_2200,1.3236631296084904,0.604362533533739,5.649915641349518,0
rows_2000_2200,2.360572296677109,6.821852686477124,8.338160506889244,0
rows_2000_2200,5.1459924630587475,15.818829465369408,8.216405252586952,0
rows_2000_2200,1.070709828168847,4.624821097621902,4.502484335960566,0
rows_2200_2400,3.068397392229893,13.422590425559305,12.972352748784003,0
rows_3000_3200,0.4455128353107732,5.985769568558921,1.2863059038153242,0
rows_3200_3400,0.25026435876024467,33.92729475342471,0.8262559918986815,0
rows_3400_3600,0.14623433872565317,6.498874698548709,0.5764203220803638,0
rows_3400_3600,1.312569607527565,0.07106366119944241,5.50108405336945,0
rows_3400_3600,5.478663159674589,253.51331325987593,14.83210731716779,0
rows_3600_3800,1.025564574671465,13.584598676447433,5.814527762686769,0
rows_3800_4000,0.13866801252526414,27.88923966199825,0.6340281431458331,0
rows_3800_4000,0.8891740315004428,0.15503774664990377,4.049393958010711,0
rows_4400_4600,1.0802472675228585,0.2426860617095239,4.246156160374852,0
rows_4400_4600,0.9321740391203331,0.06299400826081092,3.0528824833656,0
rows_4400_4600,1.2714726330051542,46.61444985962591,3.847572500213831,0
rows_4400_4600,0.4302918020557422,14.922994416152648,3.4254079933516546,0
rows_4600_4800,1.739358296557607,0.47917160598386976,7.854475261702176,0
rows_4600_4800,0.8016818289126307,37.37949928714399,6.596240059550888,0
rows_4600_4800,1.1096162430022913,25.48467678123382,4.747283767920326,0
rows_4600_4800,0.6386742124079432,0.011902691472049476,2.9781622660406555,0
rows_4600_4800,0.8666914244212233,0.5656484109322393,10.053837039701213,0
rows_4600_4800,1.3330073667357958,3.6326883882214847,11.7343554492436,0
rows_4600_4800,3.080518399982974,0.19034444191379984,12.230772616605956,0
rows_4600_4800,1.5753338834443922,9.018538020299813,14.39877669333035,0
rows_4800_5000,1.1047832873845833,9.408817594043757,11.502076602735995,0
rows_4800_5000,1.7655634439407584,9.57904221055458,15.076547260675811,0
rows_4800_5000,1.8039328552540737,7.700841907186846,16.213052653501254,0
rows_4800_5000,5.709359909209276,51.46857693549417,16.63789770820085,0
rows_4800_5000,1.586396667194101,22.181618447161604,14.462933322980176,0
rows_4800_5000,3.631666976655873,20.8876454888486,14.421472676434547,0
rows_5000_5200,2.4808690672137566,7.286240607071456,14.674646599063184,0
rows_5000_5200,2.1036014725577212,14.276065804540801,15.201941766537008,0
rows_5000_5200,1.610144324612918,5.481603312216537,13.634623672430827,0
rows_5200_5400,3.1800606625730614,254.67822835884496,6.979893190313411,0
rows_5200_5400,0.8083846725334115,11.181506765208631,2.725446921187938,0
rows_5400_5600,0.5141576034849081,219.85477354573834,1.9717932095977295,0
rows_5400_5600,0.2749076842709337,0.5262639053074114,1.288449873112591,0
rows_5400_5600,0.6020520953474942,83.76027511606007,2.1024390398371464,0
rows_5400_5600,1.0895693336323296,120.89068224788491,5.250549240276057,0
rows_5600_5800,0.8801382333250943,34.81563323220754,2.758223522863126,0
rows_5600_5800,2.0131421500686817,261.6199533674753,8.174127990308373,0
rows_5800_6000,0.8823147841657945,243.55902775302744,2.508240019514464,0
rows_5800_6000,0.44601916080846477,34.09097603947806,1.586189983332767,0
rows_5800_6000,0.7663578016560889,211.45448682872632,3.5049695786286943,0
