lat_start,lat_end,lng_start,lng_end,rmse,effective_range,partial_sill,sill,nugget,a,b
-47.290016,-47.245018,167.47127,167.51627,1.2052820777506548,549.9035172822036,14.827842509411013,14.827842509411052,3.976581770433521e-14,14.827842509411013,0.0054555024758287515
-47.290016,-47.245018,167.51627,167.56126,1.2498117807400837,5347.059344901754,11.752027375059082,16.012550352527,4.260522977467918,11.752027375059082,0.0005610560509040173
-47.245018,-47.20002,167.51627,167.56126,0.9936044966978128,6000.930545614056,5.446941534515859,8.56197661968731,3.115035085171451,5.44694153451586,0.0004999224665568962
-47.245018,-47.20002,167.56126,167.60626,0.4270850895475935,273.21686901621746,2.437251557463086,2.4372515574630866,4.848067605055027e-16,2.437251557463086,0.010980288335790598
-47.200016,-47.155018,167.56126,167.60626,1.6131488132282958,1908.7698711330895,4.478887448040942,6.819663085086001,2.3407756370450588,4.4788874480409415,0.0015716928716080012
-47.200016,-47.155018,167.60626,167.65126,0.36541094020950843,734.2074856839542,1.640516261820874,2.793444228472395,1.152927966651521,1.6405162618208737,0.004086038427142073
-47.200016,-47.155018,167.74127,167.78627,0.6737964319316708,5365.962362221522,3.8128258984490926,5.11314394599009,1.300318047540997,3.812825898449093,0.0005590795830252511
-47.200016,-47.155018,167.78627,167.83127,2.086391268410853,4993.896658526926,7.439932208349704,9.101084671947346,1.6611524635976413,7.439932208349704,0.0006007332960880541
-47.155018,-47.11002,167.60626,167.65126,0.2675062846046388,5947.242628673892,1.2327718859970833,2.4694268112243414,1.236654925227258,1.2327718859970833,0.0005044354480403864
-47.155018,-47.11002,167.65128,167.69627,0.2071381279501407,532.3572323198199,1.4967568430729912,2.246628485728965,0.749871642655974,1.496756843072991,0.0056353136913855515
-47.155018,-47.11002,167.69627,167.74127,0.13071060090939304,1315.3977967486503,0.9486621004057499,2.340435016629597,1.391772916223847,0.94866210040575,0.002280678899885103
-47.155018,-47.11002,167.74127,167.78627,1.438623893050986,772.0714197320611,8.162013860604132,8.162013861370674,7.665425544488173e-10,8.162013860604132,0.0038856508910032144
-47.155018,-47.11002,167.78627,167.83127,0.3403545712451276,2053.2725427487676,1.9465904505256193,5.159138303062212,3.2125478525365927,1.9465904505256195,0.0014610822175529726
-47.155018,-47.11002,167.83127,167.87627,0.5819024861908023,324.3905386485,3.2788182391396217,3.278818243415459,4.275837607256153e-09,3.2788182391396217,0.00924811189777243
-47.155018,-47.11002,167.87627,167.92126,0.19124976389589138,822.8075989393241,1.218700564726299,2.6394081372262765,1.4207075724999776,1.218700564726299,0.0036460528607991476
-47.110016,-47.065018,167.56126,167.60626,2.3415284518160826,5744.917665219844,11.736256861060596,11.736256861076228,1.5631880790230844e-11,11.736256861060596,0.0005222006954359366
-47.110016,-47.065018,167.60626,167.65126,0.5325495032705676,5963.139830167526,5.266075225858045,7.185970777955254,1.919895552097209,5.266075225858045,0.0005030906679100495
-47.110016,-47.065018,167.65128,167.69627,1.138943507768573,361.0563013583609,4.253107502564916,4.253107502630851,6.593503166931238e-11,4.253107502564916,0.00830895344774054
-47.110016,-47.065018,167.69627,167.74127,0.307349093698844,354.9247439956604,2.5466224004467173,2.5466224004467186,1.485981874861978e-15,2.5466224004467173,0.008452496059380634
-47.110016,-47.065018,167.74127,167.78627,1.4148381703312158,333.4541980305174,8.357831231673728,8.357831231673728,3.677409126457801e-18,8.357831231673728,0.008996737836017416
-47.110016,-47.065018,167.78627,167.83127,4.689821193444596,5992.021910859282,10.203184653244465,14.327420541131513,4.124235887887047,10.203184653244467,0.0005006657259652422
-47.110016,-47.065018,167.83127,167.87627,1.299579213228202,5948.8658479750875,3.642423369767663,5.306603884401742,1.6641805146340787,3.6424233697676636,0.0005042978067863404
-47.110016,-47.065018,167.87627,167.92126,0.5948522169145884,5881.781809802497,1.9494616207321993,4.295582825386793,2.346121204654594,1.9494616207321993,0.0005100495218983202
-47.065018,-47.02002,167.60626,167.65126,0.6538966397882144,426.60818217626877,8.188793535691802,8.188793536853272,1.1614685125418564e-09,8.188793535691802,0.007032213926830968
-47.065018,-47.02002,167.78627,167.83127,8.492040467443482,6004.845344189122,15.130981912493334,15.302397337881693,0.17141542538835916,15.130981912493334,0.0004995965471289106
-47.065018,-47.02002,167.83127,167.87627,1.806064972819322,891.854196925218,9.557363089255212,9.954097472675477,0.396734383420265,9.557363089255212,0.003363778530552287
-47.065018,-47.02002,167.87627,167.92126,0.9320841289479997,463.74716898426084,6.641607146839744,6.641607146848587,8.843072885149283e-12,6.641607146839744,0.006469042186437191
-47.065018,-47.02002,167.92126,167.96626,0.5402871161238005,5929.689578107205,1.2886948112449126,3.6305800606064302,2.3418852493615177,1.2886948112449126,0.0005059286764481218
-47.020016,-46.975018,167.83127,167.87627,1.952023284806625,345.9292429452476,8.796891794542878,8.796891794656682,1.1380395054801354e-10,8.796891794542878,0.008672293716651265
-47.020016,-46.975018,167.87627,167.92126,1.8970496090581312,5806.171570567948,5.862315944421617,10.828694955862288,4.9663790114406705,5.862315944421617,0.0005166915864504063
-47.020016,-46.975018,167.92126,167.96626,1.7539059535253485,668.6522110464044,6.7308372444619256,6.730837244802758,3.4083220837567915e-10,6.7308372444619256,0.004486637373568484
-47.020016,-46.975018,167.96626,168.01126,2.1398572574707058,5953.0166118715415,6.9797532805823055,10.850181948561218,3.870428667978912,6.979753280582306,0.0005039461831867531
-46.975018,-46.93002,167.87627,167.92126,3.4466324199756886,260.24005262919655,10.721156024801942,10.7211560248717,6.975680346746193e-11,10.721156024801942,0.011527818142100342
